o_node,d_node,origin,destination,travel_time,iteration,edge_type
1313-0-4-58,1047-0-99-99,1313,1047,78.0,1,Streetcar Route
1520-0-4-58,1047-0-99-99,1520,1047,97.0,1,Streetcar Route
1574-0-4-58,1049-0-99-99,1574,1049,140.0,1,Streetcar Route
1252-0-4-58,1050-0-99-99,1252,1050,46.0,1,Streetcar Route
1522-0-4-58,1050-0-99-99,1522,1050,96.0,1,Streetcar Route
1280-0-4-58,1051-0-99-99,1280,1051,45.0,1,Streetcar Route
1328-0-4-58,1051-0-99-99,1328,1051,83.0,1,Streetcar Route
1266-0-4-58,1052-0-99-99,1266,1052,54.0,1,Streetcar Route
1447-0-4-58,1052-0-99-99,1447,1052,98.0,1,Streetcar Route
1464-0-4-58,1052-0-99-99,1464,1052,98.0,1,Streetcar Route
1495-0-4-58,1052-0-99-99,1495,1052,101.0,1,Streetcar Route
1538-0-4-58,1052-0-99-99,1538,1052,98.0,1,Streetcar Route
1591-0-4-58,1055-0-99-99,1591,1055,113.0,1,Streetcar Route
1425-0-4-58,1056-0-99-99,1425,1056,97.0,1,Streetcar Route
1444-0-4-58,1056-0-99-99,1444,1056,94.0,1,Streetcar Route
1619-0-4-58,1056-0-99-99,1619,1056,146.0,1,Streetcar Route
1200-0-4-58,1057-0-99-99,1200,1057,87.0,1,Streetcar Route
1277-0-4-58,1057-0-99-99,1277,1057,67.0,1,Streetcar Route
1539-0-4-58,1057-0-99-99,1539,1057,96.0,1,Streetcar Route
1601-0-4-58,1057-0-99-99,1601,1057,134.0,1,Streetcar Route
1122-0-4-58,1058-0-99-99,1122,1058,87.0,1,Streetcar Route
1270-0-4-58,1058-0-99-99,1270,1058,58.0,1,Streetcar Route
1450-0-4-58,1058-0-99-99,1450,1058,97.0,1,Streetcar Route
1411-0-4-58,1059-0-99-99,1411,1059,121.0,1,Streetcar Route
1090-0-4-58,1060-0-99-99,1090,1060,36.0,1,Streetcar Route
1484-0-4-58,1062-0-99-99,1484,1062,122.0,1,Streetcar Route
1544-0-4-58,1063-0-99-99,1544,1063,101.0,1,Streetcar Route
1621-0-4-58,1063-0-99-99,1621,1063,152.0,1,Streetcar Route
1110-0-4-58,1065-0-99-99,1110,1065,49.0,1,Streetcar Route
1122-0-4-58,1065-0-99-99,1122,1065,90.0,1,Streetcar Route
1202-0-4-58,1065-0-99-99,1202,1065,87.0,1,Streetcar Route
1424-0-4-58,1065-0-99-99,1424,1065,82.0,1,Streetcar Route
1572-0-4-58,1065-0-99-99,1572,1065,153.0,1,Streetcar Route
1122-0-4-58,1066-0-99-99,1122,1066,88.0,1,Streetcar Route
1263-0-4-58,1067-0-99-99,1263,1067,91.0,1,Streetcar Route
1120-0-4-58,1068-0-99-99,1120,1068,60.0,1,Streetcar Route
1330-0-4-58,1068-0-99-99,1330,1068,85.0,1,Streetcar Route
1602-0-4-58,1068-0-99-99,1602,1068,135.0,1,Streetcar Route
1606-0-4-58,1068-0-99-99,1606,1068,116.0,1,Streetcar Route
1483-0-4-58,1070-0-99-99,1483,1070,110.0,1,Streetcar Route
1510-0-4-58,1076-0-99-99,1510,1076,119.0,1,Streetcar Route
1600-0-4-58,1076-0-99-99,1600,1076,125.0,1,Streetcar Route
1039-0-4-58,1078-0-99-99,1039,1078,44.0,1,Streetcar Route
1524-0-4-58,1078-0-99-99,1524,1078,118.0,1,Streetcar Route
1562-0-4-58,1078-0-99-99,1562,1078,160.0,1,Streetcar Route
1365-0-4-58,1080-0-99-99,1365,1080,91.0,1,Streetcar Route
1143-0-4-58,1085-0-99-99,1143,1085,93.0,1,Streetcar Route
1513-0-4-58,1090-0-99-99,1513,1090,120.0,1,Streetcar Route
1132-0-4-58,1104-0-99-99,1132,1104,53.0,1,Streetcar Route
