id,route,stop_sequence_new,sequence,hr,min,INT_ID
160485973,306,20,23,4,22,13466754.0
160485973,306,21,24,4,22,13466677.0
160485973,306,22,25,4,23,13466531.0
160485973,306,23,26,4,24,13466258.0
160485973,306,24,28,4,27,208.0
160485986,304,1,2,4,2,101.0
160485986,304,2,4,4,4,151.0
160485986,304,3,8,4,8,13467654.0
160485986,304,4,9,4,9,13467722.0
160485986,304,5,10,4,10,13467795.0
160485986,304,6,11,4,11,13467859.0
160485986,304,7,12,4,12,13467971.0
160485986,304,8,13,4,12,13468053.0
160485986,304,9,14,4,13,13468120.0
160485986,304,10,15,4,15,13468224.0
160485986,304,11,16,4,15,20056886.0
160485986,304,12,17,4,15,13468374.0
160485986,304,13,18,4,17,13468465.0
160485986,304,14,19,4,18,13468520.0
160485986,304,15,20,4,18,13468571.0
160485986,304,16,21,4,19,13468619.0
160485986,304,17,22,4,20,13468626.0
160485986,304,18,24,4,22,13468436.0
160485986,304,19,25,4,23,13468159.0
160485986,304,20,26,4,24,13467938.0
160485986,304,21,27,4,25,13467486.0
160485986,304,22,28,4,25,13467084.0
160485986,304,23,29,4,26,13466640.0
160485986,304,24,30,4,27,13466258.0
160485986,304,25,32,4,29,208.0
160486002,336,1,2,4,2,13453287.0
160486002,336,2,3,4,2,13453619.0
160486002,336,3,4,4,3,13453815.0
160486002,336,4,5,4,4,13453882.0
160486002,336,5,6,4,5,20232392.0
160486002,336,6,7,4,6,13453590.0
160486002,336,7,8,4,7,13453700.0
160486002,336,8,9,4,7,13453659.0
160486002,336,9,10,4,7,14187627.0
160486002,336,10,11,4,8,13453439.0
160486002,336,11,12,4,9,13453941.0
160486002,336,12,13,4,9,13454152.0
160486002,336,13,14,4,10,30032676.0
160486002,336,14,15,4,10,14651711.0
160486002,336,15,16,4,11,13454852.0
160486002,336,16,17,4,12,13454800.0
160486002,336,17,18,4,12,13455330.0
160486002,336,18,19,4,13,13455506.0
160486005,300,1,1,4,0,210.0
160486005,300,2,3,4,2,13465043.0
160486005,300,3,4,4,3,211.0
160486005,300,4,6,4,5,212.0
160486005,300,5,9,4,6,213.0
160486005,300,6,11,4,7,214.0
160486005,300,7,13,4,9,156.0
160486005,300,8,14,4,10,13463747.0
160486005,300,9,15,4,11,215.0
160486005,300,10,16,4,11,106.0
160486005,300,11,18,4,14,216.0
160486005,300,12,19,4,15,13463124.0
160486005,300,13,20,4,16,217.0
160486005,300,14,21,4,17,218.0
160486005,300,15,23,4,18,219.0
160486005,300,16,25,4,19,220.0
160486005,300,17,26,4,21,13461657.0
160486005,300,18,27,4,22,221.0
160486005,300,19,29,4,23,13461356.0
160486005,300,20,31,4,24,223.0
160486005,300,21,34,4,27,224.0
160486005,300,22,38,4,29,225.0
160486005,300,23,39,4,29,13459820.0
160486005,300,24,40,4,30,13459659.0
160486005,300,25,41,4,31,13459445.0
160486005,300,26,42,4,32,13459334.0
160486005,300,27,43,4,33,13459025.0
160486005,300,28,44,4,34,13458733.0
160486005,300,29,45,4,34,13458308.0
160486005,300,30,46,4,35,13459088.0
160486034,300,1,2,4,1,212.0
160486034,300,2,5,4,3,213.0
160486034,300,3,7,4,4,214.0
160486034,300,4,9,4,4,156.0
160486034,300,5,10,4,5,13463747.0
160486034,300,6,11,4,5,215.0
160486034,300,7,12,4,6,106.0
160486034,300,8,15,4,8,216.0
160486034,300,9,16,4,9,13463124.0
160486034,300,10,17,4,10,217.0
160486034,300,11,18,4,11,218.0
160486034,300,12,20,4,12,219.0
160486034,300,13,23,4,13,220.0
160486034,300,14,24,4,14,13461657.0
160486034,300,15,25,4,14,221.0
160486034,300,16,27,4,15,13461356.0
160486034,300,17,28,4,15,222.0
160486034,300,18,30,4,16,223.0
160486034,300,19,34,4,18,224.0
160486034,300,20,38,4,21,225.0
160486034,300,21,40,4,22,13459820.0
160486034,300,22,41,4,22,13459659.0
160486034,300,23,42,4,23,13459445.0
160486034,300,24,43,4,24,13459334.0
160486034,300,25,44,4,25,13459232.0
160486034,300,26,45,4,25,13459025.0
160486034,300,27,46,4,25,13458963.0
160486034,300,28,47,4,26,13458733.0
160486034,300,29,48,4,26,13458308.0
160486034,300,30,49,4,27,13458057.0
160486034,300,31,50,4,27,13457866.0
160486034,300,32,51,4,27,30029327.0
160486034,300,33,54,4,28,13458312.0
160486034,300,34,55,4,29,13456203.0
160486034,300,35,56,4,29,13455957.0
160486034,300,36,58,4,31,13455179.0
160486034,300,37,59,4,32,13454823.0
160486034,300,38,60,4,35,228.0
160486054,301,1,1,4,0,13466802.0
160486054,301,2,2,4,1,13466982.0
160486054,301,3,9,4,8,13467715.0
160486054,301,4,10,4,8,13467817.0
160486054,301,5,12,4,9,13467944.0
160486054,301,6,13,4,10,13467983.0
160486054,301,7,14,4,10,13468080.0
160486054,301,8,15,4,11,13468148.0
160486054,301,9,16,4,11,13468216.0
160486054,301,10,17,4,13,13468303.0
160486054,301,11,18,4,13,13468375.0
160486054,301,12,19,4,14,13468436.0
160486054,301,13,20,4,16,13468370.0
160486054,301,14,21,4,17,13468437.0
160486054,301,15,22,4,17,13468360.0
160486054,301,16,23,4,18,13468559.0
160486054,301,17,24,4,19,13468605.0
160486054,301,18,25,4,20,13468786.0
160486054,301,19,27,4,23,20031732.0
160486054,301,20,29,4,24,13469683.0
160486054,301,21,30,4,24,13469793.0
160486054,301,22,31,4,25,13469870.0
160486054,301,23,32,4,25,13469945.0
160486054,301,24,33,4,29,13470022.0
160486054,301,25,34,4,30,13470070.0
160486054,301,26,35,4,31,13470151.0
160486054,301,27,36,4,32,13470214.0
160486054,301,28,37,4,33,13470353.0
160486054,301,29,38,4,33,13470386.0
160486054,301,30,39,4,34,13470414.0
160486054,301,31,40,4,34,13470434.0
160486054,301,32,41,4,34,13470452.0
160486054,301,33,42,4,35,13470475.0
160486062,306,1,1,4,0,13463705.0
160486062,306,2,2,4,1,13463573.0
160486062,306,3,3,4,1,13463478.0
160486062,306,4,4,4,2,13463372.0
160486062,306,5,5,4,2,13463279.0
160486062,306,6,6,4,2,13463183.0
160486062,306,7,7,4,3,13463082.0
160486062,306,8,8,4,3,13462953.0
160486062,306,9,9,4,3,13462844.0
160486062,306,10,10,4,5,13462427.0
