station1,station2,depart_time,arrival_time
kennedy,lawrence_east,2019-12-16 20:34:41.539000064-05:00,2019-12-16 20:40:42.590000128-05:00
kennedy,lawrence_east,2019-12-16 20:39:30.520999936-05:00,2019-12-16 20:46:00.252999936-05:00
kennedy,lawrence_east,2019-12-16 20:46:28.102000128-05:00,2019-12-16 20:52:34.864999936-05:00
kennedy,lawrence_east,2019-12-16 20:50:27.756000-05:00,2019-12-16 20:57:18.777999872-05:00
kennedy,lawrence_east,2019-12-16 20:50:34.433999872-05:00,2019-12-16 20:58:06.318000128-05:00
kennedy,lawrence_east,2019-12-16 21:00:30.919000064-05:00,2019-12-16 21:05:44.284000-05:00
kennedy,lawrence_east,2019-12-16 21:11:01.091000064-05:00,2019-12-16 21:18:48.219000064-05:00
kennedy,lawrence_east,2019-12-16 21:18:01.278000128-05:00,2019-12-16 21:23:32.552999936-05:00
kennedy,lawrence_east,2019-12-16 21:21:31.254000128-05:00,2019-12-16 21:30:55.390000128-05:00
kennedy,lawrence_east,2019-12-16 21:27:45.728999936-05:00,2019-12-16 21:38:09.473999872-05:00
kennedy,lawrence_east,2019-12-16 21:35:44.086500096-05:00,2019-12-16 21:44:55.929999872-05:00
kennedy,lawrence_east,2019-12-16 21:41:26.120499968-05:00,2019-12-16 21:48:02.000999936-05:00
kennedy,lawrence_east,2019-12-16 21:46:43.839000064-05:00,2019-12-16 21:57:03.357499904-05:00
kennedy,lawrence_east,2019-12-16 21:55:55.370999808-05:00,2019-12-16 22:04:03.200999936-05:00
kennedy,lawrence_east,2019-12-16 22:03:47.004499968-05:00,2019-12-16 22:12:00.677499904-05:00
kennedy,lawrence_east,2019-12-16 22:09:24.640000-05:00,2019-12-16 22:17:19.372000-05:00
kennedy,lawrence_east,2019-12-16 22:12:49.691000064-05:00,2019-12-16 22:18:14.620000-05:00
kennedy,lawrence_east,2019-12-16 22:12:53.273999872-05:00,2019-12-16 22:23:02.820999936-05:00
kennedy,lawrence_east,2019-12-16 22:25:54.738500096-05:00,2019-12-16 22:39:03.359499776-05:00
kennedy,lawrence_east,2019-12-16 22:39:23.064999936-05:00,2019-12-16 22:44:02.756499968-05:00
kennedy,lawrence_east,2019-12-16 22:39:45.814000128-05:00,2019-12-16 22:49:47.724000-05:00
kennedy,lawrence_east,2019-12-16 22:48:59.153999872-05:00,2019-12-16 22:55:30.798000128-05:00
kennedy,lawrence_east,2019-12-16 22:51:27.120999936-05:00,2019-12-16 23:05:41.544000-05:00
kennedy,lawrence_east,2019-12-16 23:00:05.838499840-05:00,2019-12-16 23:09:42.544999936-05:00
kennedy,lawrence_east,2019-12-16 23:06:15.384000-05:00,2019-12-16 23:12:36.652000-05:00
kennedy,lawrence_east,2019-12-16 23:07:05.625999872-05:00,2019-12-16 23:16:28.284000-05:00
kennedy,lawrence_east,2019-12-16 23:12:50.497999872-05:00,2019-12-16 23:21:08.743000064-05:00
kennedy,lawrence_east,2019-12-16 23:15:02.543000064-05:00,2019-12-16 23:29:17.200999936-05:00
kennedy,lawrence_east,2019-12-16 23:26:33.214499840-05:00,2019-12-16 23:37:14.606499840-05:00
kennedy,lawrence_east,2019-12-16 23:29:39.652000-05:00,2019-12-16 23:40:36.680000-05:00
kennedy,lawrence_east,2019-12-16 23:40:50.528999936-05:00,2019-12-16 23:46:15.279000064-05:00
kennedy,lawrence_east,2019-12-16 23:43:17.361999872-05:00,2019-12-16 23:54:34.236999936-05:00
kennedy,lawrence_east,2019-12-16 23:50:41.123500032-05:00,2019-12-17 00:00:39.920999936-05:00
kennedy,lawrence_east,2019-12-16 23:56:20.057999872-05:00,2019-12-17 00:08:00.161999872-05:00
kennedy,lawrence_east,2019-12-17 00:02:39.859500032-05:00,2019-12-17 00:11:23.944000-05:00
kennedy,lawrence_east,2019-12-17 00:06:59.944999936-05:00,2019-12-17 00:14:44.550000128-05:00
kennedy,lawrence_east,2019-12-17 00:08:12.107000064-05:00,2019-12-17 00:16:36.844999936-05:00
kennedy,lawrence_east,2019-12-17 00:20:52.115000064-05:00,2019-12-17 00:28:43.350000128-05:00
kennedy,lawrence_east,2019-12-17 00:27:24.180000-05:00,2019-12-17 00:35:29.247000064-05:00
kennedy,lawrence_east,2019-12-17 00:30:11.335000064-05:00,2019-12-17 00:41:35.323000064-05:00
kennedy,lawrence_east,2020-01-02 20:04:34.217999872-05:00,2020-01-02 20:10:58.831000064-05:00
kennedy,lawrence_east,2020-01-02 20:19:43.443000064-05:00,2020-01-02 20:27:17.350000128-05:00
kennedy,lawrence_east,2020-01-02 20:30:35.860999936-05:00,2020-01-02 20:35:21.337999872-05:00
kennedy,lawrence_east,2020-01-02 20:33:31.786999808-05:00,2020-01-02 20:40:19.384999936-05:00
kennedy,lawrence_east,2020-01-02 20:37:55.691000064-05:00,2020-01-02 20:48:09.960000-05:00
kennedy,lawrence_east,2020-01-02 20:42:13.500000-05:00,2020-01-02 20:51:14.103000064-05:00
kennedy,lawrence_east,2020-01-02 20:49:22.302000128-05:00,2020-01-02 20:57:27.742000128-05:00
kennedy,lawrence_east,2020-01-02 20:51:24.724000-05:00,2020-01-02 21:03:39.753500160-05:00
kennedy,lawrence_east,2020-01-02 20:56:31.108000-05:00,2020-01-02 21:07:26.300000-05:00
