o_node,d_node,origin,destination,travel_time,date,period,trial
1197-0-4-11,1227-0-99-99,1197,1227,33.0,2019-11-28,EM,1
1233-0-4-11,1227-0-99-99,1233,1227,44.0,2019-11-28,EM,1
1560-0-4-11,1243-0-99-99,1560,1243,53.0,2019-11-28,EM,1
1575-0-4-11,1243-0-99-99,1575,1243,97.0,2019-11-28,EM,1
1224-0-4-11,1247-0-99-99,1224,1247,72.0,2019-11-28,EM,1
1251-0-4-11,1247-0-99-99,1251,1247,54.0,2019-11-28,EM,1
1524-0-4-11,1253-0-99-99,1524,1253,59.0,2019-11-28,EM,1
1383-0-4-11,1260-0-99-99,1383,1260,130.0,2019-11-28,EM,1
1110-0-4-11,1272-0-99-99,1110,1272,49.0,2019-11-28,EM,1
1250-0-4-11,1275-0-99-99,1250,1275,28.0,2019-11-28,EM,1
1144-0-4-11,1277-0-99-99,1144,1277,68.0,2019-11-28,EM,1
1347-0-4-11,1285-0-99-99,1347,1285,103.0,2019-11-28,EM,1
1431-0-4-11,1285-0-99-99,1431,1285,116.0,2019-11-28,EM,1
1544-0-4-11,1298-0-99-99,1544,1298,115.0,2019-11-28,EM,1
1131-0-4-11,1299-0-99-99,1131,1299,77.0,2019-11-28,EM,1
1271-0-4-11,1307-0-99-99,1271,1307,77.0,2019-11-28,EM,1
1290-0-4-11,1307-0-99-99,1290,1307,27.0,2019-11-28,EM,1
1353-0-4-11,1307-0-99-99,1353,1307,64.0,2019-11-28,EM,1
1458-0-4-11,1313-0-99-99,1458,1313,125.0,2019-11-28,EM,1
1124-0-4-11,1317-0-99-99,1124,1317,34.0,2019-11-28,EM,1
1326-0-4-11,1317-0-99-99,1326,1317,59.0,2019-11-28,EM,1
1133-0-4-11,1331-0-99-99,1133,1331,70.0,2019-11-28,EM,1
1177-0-4-11,1355-0-99-99,1177,1355,64.0,2019-11-28,EM,1
1110-0-4-11,1356-0-99-99,1110,1356,93.0,2019-11-28,EM,1
1039-0-4-11,1357-0-99-99,1039,1357,98.0,2019-11-28,EM,1
1385-0-4-11,1358-0-99-99,1385,1358,69.0,2019-11-28,EM,1
1021-0-4-11,1361-0-99-99,1021,1361,107.0,2019-11-28,EM,1
1062-0-4-11,1371-0-99-99,1062,1371,111.0,2019-11-28,EM,1
1173-0-4-11,1378-0-99-99,1173,1378,110.0,2019-11-28,EM,1
1232-0-4-11,1378-0-99-99,1232,1378,128.0,2019-11-28,EM,1
1342-0-4-11,1378-0-99-99,1342,1378,74.0,2019-11-28,EM,1
1351-0-4-11,1379-0-99-99,1351,1379,87.0,2019-11-28,EM,1
1021-0-4-11,1386-0-99-99,1021,1386,88.0,2019-11-28,EM,1
1249-0-4-11,1388-0-99-99,1249,1388,111.0,2019-11-28,EM,1
1396-0-4-11,1388-0-99-99,1396,1388,58.0,2019-11-28,EM,1
1538-0-4-11,1388-0-99-99,1538,1388,128.0,2019-11-28,EM,1
1445-0-4-11,1391-0-99-99,1445,1391,45.0,2019-11-28,EM,1
1265-0-4-11,1393-0-99-99,1265,1393,101.0,2019-11-28,EM,1
1531-0-4-11,1393-0-99-99,1531,1393,101.0,2019-11-28,EM,1
1173-0-4-11,1394-0-99-99,1173,1394,78.0,2019-11-28,EM,1
1401-0-4-11,1395-0-99-99,1401,1395,45.0,2019-11-28,EM,1
1140-0-4-11,1402-0-99-99,1140,1402,66.0,2019-11-28,EM,1
1173-0-4-11,1402-0-99-99,1173,1402,94.0,2019-11-28,EM,1
1400-0-4-11,1402-0-99-99,1400,1402,35.0,2019-11-28,EM,1
1415-0-4-11,1402-0-99-99,1415,1402,35.0,2019-11-28,EM,1
1423-0-4-11,1411-0-99-99,1423,1411,71.0,2019-11-28,EM,1
1407-0-4-11,1415-0-99-99,1407,1415,40.0,2019-11-28,EM,1
1606-0-4-11,1415-0-99-99,1606,1415,100.0,2019-11-28,EM,1
1381-0-4-11,1421-0-99-99,1381,1421,51.0,2019-11-28,EM,1
1041-0-4-11,1423-0-99-99,1041,1423,66.0,2019-11-28,EM,1
1062-0-4-11,1442-0-99-99,1062,1442,69.0,2019-11-28,EM,1
1482-0-4-11,1472-0-99-99,1482,1472,41.0,2019-11-28,EM,1
1538-0-4-11,1476-0-99-99,1538,1476,85.0,2019-11-28,EM,1
1583-0-4-11,1481-0-99-99,1583,1481,43.0,2019-11-28,EM,1
1524-0-4-11,1486-0-99-99,1524,1486,61.0,2019-11-28,EM,1
1531-0-4-11,1490-0-99-99,1531,1490,55.0,2019-11-28,EM,1
1366-0-4-11,1492-0-99-99,1366,1492,98.0,2019-11-28,EM,1
1579-0-4-11,1492-0-99-99,1579,1492,38.0,2019-11-28,EM,1
1513-0-4-11,1503-0-99-99,1513,1503,39.0,2019-11-28,EM,1
1021-0-4-11,1519-0-99-99,1021,1519,56.0,2019-11-28,EM,1
1495-0-4-11,1529-0-99-99,1495,1529,84.0,2019-11-28,EM,1
1428-0-4-11,1530-0-99-99,1428,1530,90.0,2019-11-28,EM,1
1443-0-4-11,1530-0-99-99,1443,1530,78.0,2019-11-28,EM,1
1577-0-4-11,1536-0-99-99,1577,1536,85.0,2019-11-28,EM,1
1569-0-4-11,1543-0-99-99,1569,1543,94.0,2019-11-28,EM,1
1182-0-4-11,1544-0-99-99,1182,1544,89.0,2019-11-28,EM,1
